17:16:04.126122 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1664824:1665004, ack 973, win 501, length 180
17:16:04.132891 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1673104:1673284, ack 973, win 501, length 180
17:16:04.133029 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1673284:1673464, ack 973, win 501, length 180
17:16:04.133168 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1673464:1673644, ack 973, win 501, length 180
17:16:04.133306 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1673644:1673824, ack 973, win 501, length 180
17:16:04.133471 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1673824:1674004, ack 973, win 501, length 180
17:16:04.133613 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1674004:1674184, ack 973, win 501, length 180
17:16:04.133750 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1674184:1674364, ack 973, win 501, length 180
17:16:04.133884 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1674364:1674544, ack 973, win 501, length 180
17:16:04.134026 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1674544:1674724, ack 973, win 501, length 180
17:16:04.134193 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1674724:1674904, ack 973, win 501, length 180
17:16:04.134337 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1674904:1675084, ack 973, win 501, length 180
17:16:04.134479 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1675084:1675264, ack 973, win 501, length 180
17:16:04.134618 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1675264:1675444, ack 973, win 501, length 180
17:16:04.134757 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1675444:1675624, ack 973, win 501, length 180
17:16:04.134901 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1675624:1675804, ack 973, win 501, length 180
17:16:04.135043 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1675804:1675984, ack 973, win 501, length 180
17:16:04.135182 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1675984:1676164, ack 973, win 501, length 180
17:16:04.135315 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1676164:1676344, ack 973, win 501, length 180
17:16:04.135440 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1676344:1676524, ack 973, win 501, length 180
17:16:04.135580 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1676524:1676704, ack 973, win 501, length 180
17:16:04.135718 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1676704:1676884, ack 973, win 501, length 180
17:16:04.135860 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1676884:1677064, ack 973, win 501, length 180
17:16:04.136000 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1677064:1677244, ack 973, win 501, length 180
17:16:04.136143 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1677244:1677424, ack 973, win 501, length 180
17:16:04.136284 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1677424:1677604, ack 973, win 501, length 180
17:16:04.136431 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1677604:1677784, ack 973, win 501, length 180
17:16:04.136567 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1677784:1677964, ack 973, win 501, length 180
17:16:04.136708 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1677964:1678144, ack 973, win 501, length 180
17:16:04.136848 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1678144:1678324, ack 973, win 501, length 180
17:16:04.136988 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1678324:1678504, ack 973, win 501, length 180
17:16:04.137140 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1678504:1678684, ack 973, win 501, length 180
17:16:04.137282 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1678684:1678864, ack 973, win 501, length 180
17:16:04.137447 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1678864:1679044, ack 973, win 501, length 180
17:16:04.137591 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1679044:1679224, ack 973, win 501, length 180
17:16:04.137722 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1679224:1679404, ack 973, win 501, length 180
17:16:04.137848 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1679404:1679584, ack 973, win 501, length 180
17:16:04.137987 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1679584:1679764, ack 973, win 501, length 180
17:16:04.138154 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1679764:1679944, ack 973, win 501, length 180
17:16:04.138296 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1679944:1680124, ack 973, win 501, length 180
17:16:04.138448 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1680124:1680304, ack 973, win 501, length 180
17:16:04.138606 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1680304:1680484, ack 973, win 501, length 180
17:16:04.138752 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1680484:1680664, ack 973, win 501, length 180
17:16:04.138896 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1680664:1680844, ack 973, win 501, length 180
17:16:04.139039 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1680844:1681024, ack 973, win 501, length 180
17:16:04.139179 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1681024:1681204, ack 973, win 501, length 180
17:16:04.139349 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1681204:1681384, ack 973, win 501, length 180
17:16:04.139516 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1681384:1681564, ack 973, win 501, length 180
17:16:04.139659 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1681564:1681744, ack 973, win 501, length 180
17:16:04.139786 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1681744:1681924, ack 973, win 501, length 180
17:16:04.139926 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1681924:1682104, ack 973, win 501, length 180
17:16:04.140066 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1682104:1682284, ack 973, win 501, length 180
17:16:04.140242 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1682284:1682464, ack 973, win 501, length 180
17:16:04.140382 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1682464:1682644, ack 973, win 501, length 180
17:16:04.140523 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1682644:1682824, ack 973, win 501, length 180
17:16:04.140670 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1682824:1683004, ack 973, win 501, length 180
17:16:04.140820 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1683004:1683184, ack 973, win 501, length 180
17:16:04.141323 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1683184:1683364, ack 973, win 501, length 180
17:16:04.141491 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1683364:1683544, ack 973, win 501, length 180
17:16:04.141634 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1683544:1683724, ack 973, win 501, length 180
17:16:04.141776 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1683724:1683904, ack 973, win 501, length 180
17:16:04.141918 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1683904:1684084, ack 973, win 501, length 180
17:16:04.142056 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1684084:1684264, ack 973, win 501, length 180
17:16:04.142225 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1684264:1684444, ack 973, win 501, length 180
17:16:04.142380 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1684444:1684624, ack 973, win 501, length 180
17:16:04.142521 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1684624:1684804, ack 973, win 501, length 180
17:16:04.142662 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1684804:1684984, ack 973, win 501, length 180
17:16:04.142827 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1684984:1685164, ack 973, win 501, length 180
17:16:04.143040 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1685164:1685344, ack 973, win 501, length 180
17:16:04.143186 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1685344:1685524, ack 973, win 501, length 180
17:16:04.143361 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1685524:1685704, ack 973, win 501, length 180
17:16:04.143546 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1685704:1685884, ack 973, win 501, length 180
17:16:04.143698 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1685884:1686064, ack 973, win 501, length 180
17:16:04.143847 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1686064:1686244, ack 973, win 501, length 180
17:16:04.143988 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1686244:1686424, ack 973, win 501, length 180
17:16:04.144139 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1686424:1686604, ack 973, win 501, length 180
17:16:04.144288 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1686604:1686784, ack 973, win 501, length 180
17:16:04.144436 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1686784:1686964, ack 973, win 501, length 180
17:16:04.144581 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1686964:1687144, ack 973, win 501, length 180
17:16:04.144718 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1687144:1687324, ack 973, win 501, length 180
17:16:04.162155 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1687324:1687504, ack 973, win 501, length 180
17:16:04.243062 IP 50.101.85.188.58534 > lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 1639900, win 516, length 0
17:16:04.243063 IP 50.101.85.188.58534 > lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 1641160, win 511, length 0
17:16:04.243063 IP 50.101.85.188.58534 > lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh: Flags [P.], seq 973:1009, ack 1641160, win 511, length 36
17:16:04.243189 IP lamponubuntu2004-s-1vcpu-1gb-tor1-01.ssh > 50.101.85.188.58534: Flags [P.], seq 1687504:1687684, ack 973, win 501, length 180
^C
9966 packets captured
9967 packets received by filter
0 packets dropped by kernel
